dataset_group,fold,evaluation,dataset,classifier,Macro_F1,Accuracy,Precision_macro,Recall_macro,ROC_AUC,inner_fold
covid,1,synthetic_only_internal_cv,Fixed_Balanced_medium_sep0.5_anchor0.25,CatBoost,0.5446133509583608,0.7547169811320755,0.6377551020408163,0.551923076923077,0.7211538461538461,5.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_medium_sep0.5_anchor0.25,XGBoost,0.5069767441860465,0.6981132075471698,0.5232919254658386,0.5144230769230769,0.6711538461538462,5.0
covid,1,train_synthetic_test_real_cv,Fixed_Balanced_high_sep1.0_anchor0.5,CatBoost,0.5778577857785778,0.6865671641791045,0.5764705882352942,0.579656862745098,0.6017156862745099,
covid,1,train_synthetic_test_real_cv,Fixed_Balanced_high_sep1.0_anchor0.5,XGBoost,0.5270588235294118,0.6417910447761194,0.5266439909297052,0.5287990196078431,0.5863970588235294,
covid,1,synthetic_only_internal_cv,Fixed_Balanced_high_sep1.0_anchor0.5,CatBoost,0.6961636828644502,0.7962962962962963,0.7444444444444445,0.6767857142857143,0.8535714285714285,1.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_high_sep1.0_anchor0.5,XGBoost,0.7514066496163683,0.8333333333333334,0.8111111111111111,0.725,0.8660714285714286,1.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_high_sep1.0_anchor0.5,CatBoost,0.8271604938271604,0.8703703703703703,0.8358348968105066,0.8196428571428571,0.9017857142857142,2.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_high_sep1.0_anchor0.5,XGBoost,0.8271604938271604,0.8703703703703703,0.8358348968105066,0.8196428571428571,0.8982142857142857,2.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_high_sep1.0_anchor0.5,CatBoost,0.7120987654320987,0.7924528301886793,0.7184959349593496,0.7067307692307692,0.8307692307692308,3.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_high_sep1.0_anchor0.5,XGBoost,0.7132034632034632,0.8113207547169812,0.7537878787878788,0.6932692307692307,0.85,3.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_high_sep1.0_anchor0.5,CatBoost,0.6374245472837021,0.6792452830188679,0.6400293255131965,0.6836538461538462,0.8192307692307692,4.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_high_sep1.0_anchor0.5,XGBoost,0.5947686116700202,0.6415094339622641,0.6011730205278593,0.6326923076923077,0.7653846153846154,4.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_high_sep1.0_anchor0.5,CatBoost,0.6558441558441558,0.7735849056603774,0.6868686868686869,0.6423076923076924,0.8269230769230769,5.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_high_sep1.0_anchor0.5,XGBoost,0.6390780513357779,0.7547169811320755,0.6569767441860466,0.6298076923076923,0.7557692307692307,5.0
covid,2,train_real_test_real_cv,Real,CatBoost,0.45616883116883117,0.7014925373134329,0.47096774193548385,0.4894117647058824,0.6258823529411764,
covid,2,train_real_test_real_cv,Real,XGBoost,0.45616883116883117,0.7014925373134329,0.47096774193548385,0.4894117647058824,0.5988235294117646,
covid,2,train_synthetic_test_real_cv,Standard_CTGAN,CatBoost,0.5200168563000421,0.746268656716418,0.6309523809523809,0.5388235294117647,0.43529411764705883,
covid,2,train_synthetic_test_real_cv,Standard_CTGAN,XGBoost,0.5200168563000421,0.746268656716418,0.6309523809523809,0.5388235294117647,0.4447058823529412,
covid,2,synthetic_only_internal_cv,Standard_CTGAN,CatBoost,0.5848610289769367,0.7592592592592593,0.6458333333333333,0.5787992495309568,0.600375234521576,1.0
covid,2,synthetic_only_internal_cv,Standard_CTGAN,XGBoost,0.5848610289769367,0.7592592592592593,0.6458333333333333,0.5787992495309568,0.5028142589118199,1.0
covid,2,synthetic_only_internal_cv,Standard_CTGAN,CatBoost,0.6487285629804849,0.7962962962962963,0.7395833333333333,0.6294559099437148,0.6510318949343339,2.0
covid,2,synthetic_only_internal_cv,Standard_CTGAN,XGBoost,0.5848610289769367,0.7592592592592593,0.6458333333333333,0.5787992495309568,0.6454033771106942,2.0
covid,2,synthetic_only_internal_cv,Standard_CTGAN,CatBoost,0.5686046511627907,0.7358490566037735,0.6055900621118012,0.5653846153846154,0.5903846153846154,3.0
covid,2,synthetic_only_internal_cv,Standard_CTGAN,XGBoost,0.4358543417366947,0.6415094339622641,0.42916666666666664,0.4509615384615384,0.48653846153846153,3.0
covid,2,synthetic_only_internal_cv,Standard_CTGAN,CatBoost,0.5190562613430127,0.7169811320754716,0.549645390070922,0.5269230769230769,0.44230769230769235,4.0
covid,2,synthetic_only_internal_cv,Standard_CTGAN,XGBoost,0.4358543417366947,0.6415094339622641,0.42916666666666664,0.4509615384615384,0.3980769230769231,4.0
